Date,Close,High,Low,Open,Volume
2023-07-31,4850.6103515625,4914.155465338428,4765.883533194597,4914.155465338428,189375700
2023-08-01,4787.06494140625,4850.610051247926,4744.701534845132,4787.06494140625,114702500
2023-08-02,4829.4287109375,4871.792120682566,4744.701891447368,4765.883596319901,133546200
2023-08-03,4914.15576171875,4935.337467588228,4829.428938240841,4850.610644110318,68587500
2023-08-04,4892.9736328125,4935.337040888799,4871.791928774351,4914.155336850649,47144200
2023-08-07,4977.70068359375,5020.064093666888,4935.337273520611,4956.518978557181,104342100
2023-08-08,4998.88232421875,5041.245733746027,4977.700619455111,4998.88232421875,66473200
2023-08-09,4998.88232421875,5041.245733746027,4956.518914691472,4998.88232421875,64495400
2023-08-10,5062.427734375,5083.609440376569,4998.882616370292,5020.064322371862,78859600
2023-08-11,5020.06396484375,5104.790782815796,4998.882260350738,5062.4273738297725,46568600
2023-08-14,5041.24560546875,5041.24560546875,4914.155380120798,5020.0639012440915,86460500
2023-08-15,4914.15576171875,5020.064291066137,4914.15576171875,4998.882585196659,116815700
2023-08-16,4914.15576171875,4914.15576171875,4808.247232371364,4892.974055849273,163744100
2023-08-18,4892.9736328125,4935.337040888799,4850.610224736201,4850.610224736201,104894600
2023-08-21,4935.3369140625,4977.700321050161,4914.15521056867,4914.15521056867,61845800
2023-08-22,5041.24560546875,5041.24560546875,4914.155380120798,4914.155380120798,93617200
2023-08-23,4956.5185546875,5041.245367588141,4956.5185546875,5041.245367588141,40844700
2023-08-24,5041.24560546875,5041.24560546875,4977.700492794774,4998.882197019432,42648300
2023-08-25,4998.88232421875,5020.064028982389,4935.337209927833,4998.88232421875,65093100
2023-08-28,5083.609375,5104.791080729166,4998.882552083333,5041.245963541666,63980400
2023-08-29,5041.24560546875,5104.790718142725,5041.24560546875,5083.609013918067,50839300
2023-08-30,5062.427734375,5168.336264382845,5020.064322371862,5020.064322371862,65727400
2023-08-31,5104.79052734375,5147.153934209673,4998.8820101789415,5083.6088239107885,159062900
2023-09-01,5147.154296875,5189.517706725824,5125.972591949589,5147.154296875,50796000
2023-09-04,5168.3359375,5210.699346823771,5125.972528176229,5147.154232838115,56317700
2023-09-05,5168.3359375,5210.699346823771,5147.154232838115,5168.3359375,24893100
2023-09-06,5125.97216796875,5189.517277489024,5125.97216796875,5125.97216796875,40547800
2023-09-07,4977.70068359375,5104.7909138131645,4935.337273520611,5083.609208776596,124351400
2023-09-08,4998.88232421875,5020.064028982389,4892.973800400556,4998.88232421875,81980400
2023-09-11,5020.06396484375,5020.06396484375,4935.337146871703,4998.882260350738,74510600
2023-09-12,4977.70068359375,5041.245798703458,4956.518978557181,5041.245798703458,54076800
2023-09-13,4956.5185546875,4956.5185546875,4892.9734450120195,4935.33685146234,69884000
2023-09-14,4935.3369140625,4977.700321050161,4892.973507074839,4935.3369140625,59132600
2023-09-15,5020.06396484375,5062.4273738297725,4956.5188513647145,4998.882260350738,165106200
2023-09-18,4998.88232421875,5041.245733746027,4977.700619455111,4998.88232421875,53450400
2023-09-19,5083.609375,5147.1544921875,4977.700846354167,4998.882552083333,84608400
2023-09-20,5147.154296875,5189.517706725824,5125.972591949589,5168.336001800411,64864900
2023-09-21,5083.609375,5147.1544921875,5062.427669270834,5125.972786458334,60535000
2023-09-22,5083.609375,5125.972786458334,5062.427669270834,5083.609375,51069900
2023-09-25,5083.609375,5125.972786458334,5062.427669270834,5083.609375,40650900
2023-09-26,5020.06396484375,5083.609078322785,4956.5188513647145,5062.4273738297725,109786400
2023-09-27,5083.609375,5125.972786458334,4998.882552083333,5020.0642578125,75050600
2023-09-29,5104.79052734375,5125.9722307767115,5083.6088239107885,5125.9722307767115,71554100
